person_id,full_name,other_names,assnat_url
15417,chantal soucy,soucy,/fr/deputes/soucy-chantal-15417/index.html
17959,chantale jeannotte,jeannotte,/fr/deputes/jeannotte-chantale-17959/index.html
51,charlotte lecuyer,lecuyer,/fr/deputes/l-ecuyer-charlotte-51/index.html
12223,christian dube,dube,/fr/deputes/dube-christian-12223/index.html
5887,christian levesque,levesque,/fr/deputes/levesque-christian-5887/index.html
19269,christine frechette,frechette ; mme frechette,/fr/deputes/frechette-christine-19269/index.html
17889,christine labrie,labrie,/fr/deputes/labrie-christine-17889/index.html
1235,christine stpierre,stpierre,/fr/deputes/st-pierre-christine-1235/index.html
17873,christopher skeete,skeete,/fr/deputes/skeete-christopher-17873/index.html
5387,christos sirros,sirros,/fr/deputes/sirros-christos-5387/index.html
17939,claire isabelle,isabelle,/fr/deputes/isabelle-claire-17939/index.html
15409,claire samson,samson,/fr/deputes/samson-claire-15409/index.html
5673,claire vaive,vaive,/fr/deputes/vaive-claire-5673/index.html
531,claude bachand,NA,/fr/deputes/bachand-claude-531/index.html
887,claude bechard,bechard,/fr/deputes/bechard-claude-887/index.html
2195,claude boucher,boucher,/fr/deputes/boucher-claude-2195/index.html
925,claude cousineau,cousineau,/fr/deputes/cousineau-claude-925/index.html
3843,claude lachance,lachance,/fr/deputes/lachance-claude-3843/index.html
5885,claude lecuyer,lecuyer ; m. lecuyer ; m.lecuyer,/fr/deputes/l-ecuyer-claude-5885/index.html
900003,claude morin2,morin,
1115,claude pinard,pinard,/fr/deputes/pinard-claude-1115/index.html
17833,claude reid,"reid, m. reid ; m.reid",/fr/deputes/reid-claude-17833/index.html
5903,claude roy,NA,/fr/deputes/roy-claude-5903/index.html
900004,claude suprenant,surprenant,
1635,clement gignac,gignac,/fr/deputes/gignac-clement-1635/index.html
4273,cosmo maciocia,maciocia,/fr/deputes/maciocia-cosmo-4273/index.html
11497,damien arsenault,arsenault,/fr/deputes/arsenault-damien-11497/index.html
13,daniel bernard,bernard,/fr/deputes/bernard-daniel-13/index.html
5805,daniel bouchard,NA,/fr/deputes/bouchard-daniel-5805/index.html
12225,daniel breton,breton,/fr/deputes/breton-daniel-12225/index.html
12241,daniel goyer,goyer,/fr/deputes/goyer-daniel-12241/index.html
900005,daniel johnsonjr,johnson,
4699,daniel paille,paille,/fr/deputes/paille-daniel-4699/index.html
157,daniel ratthe,ratthe,/fr/deputes/ratthe-daniel-157/index.html
5839,daniel turp,turp,/fr/deputes/turp-daniel-5839/index.html
91,danielle doyer,doyer,/fr/deputes/doyer-danielle-91/index.html
17887,danielle mccann,mccann,/fr/deputes/mccann-danielle-17887/index.html
1059,danielle stamand,stamand,/fr/deputes/st-amand-danielle-1059/index.html
1407,dave turcotte,turcotte,/fr/deputes/turcotte-dave-1407/index.html
15371,david birnbaum,birnbaum,/fr/deputes/birnbaum-david-15371/index.html
2595,david cliche,cliche,/fr/deputes/cliche-david-2595/index.html
14883,david heurtel,heurtel,/fr/deputes/heurtel-david-14883/index.html
4791,david payne,payne,/fr/deputes/payne-david-4791/index.html
65,david whissell,whissell,/fr/deputes/whissell-david-65/index.html
2489,denis chalifoux,chalifoux,/fr/deputes/chalifoux-denis-2489/index.html
17901,denis lamothe,lamothe,/fr/deputes/lamothe-denis-17901/index.html
4051,denis lazure,lazure,/fr/deputes/lazure-denis-4051/index.html
4855,denis perron,perron,/fr/deputes/perron-denis-4855/index.html
17863,denis tardif,m. tardif ; m.tardif,/fr/deputes/tardif-denis-17863/index.html
1389,denis trottier,trottier,/fr/deputes/trottier-denis-1389/index.html
727,denise beaudoin,beaudet,/fr/deputes/beaudoin-denise-727/index.html
2437,denise carrierperreault,carrierperreault,/fr/deputes/carrier-perreault-denise-2437/index.html
12179,denise trudel,NA,/fr/deputes/trudel-denise-12179/index.html
19283,desiree mcgraw,mcgraw ; mme mcgraw,/fr/deputes/mcgraw-desiree-19283/index.html
1833,diane barbeau,barbeau,/fr/deputes/barbeau-diane-1833/index.html
12221,diane decourcy,decourcy,/fr/deputes/de-courcy-diane-12221/index.html
900006,diane hamelin,hamelin,
15429,diane lamarre,lamarre,/fr/deputes/lamarre-diane-15429/index.html
4075,diane leblanc,leblanc,/fr/deputes/leblanc-diane-4075/index.html
5823,diane legault,NA,/fr/deputes/legault-diane-5823/index.html
4157,diane lemieux,lemieux,/fr/deputes/lemieux-diane-4157/index.html
16499,dominique anglade,anglade,/fr/deputes/anglade-dominique-16499/index.html
191,dominique vien,vien,/fr/deputes/vien-dominique-191/index.html
12165,donald martel,martel,/fr/deputes/martel-donald-12165/index.html
12197,elaine zakaib,zakaib,/fr/deputes/zakaib-elaine-12197/index.html
19301,elisabeth prass,prass ; mme prass,/fr/deputes/prass-elisabeth-19301/index.html
12243,elizabeth larouche,larouche,/fr/deputes/larouche-elizabeth-12243/index.html
5845,elsie lefebvre,lefebvre,/fr/deputes/lefebvre-elsie-5845/index.html
